QuestionId,ConstructId,ConstructName,SubjectId,SubjectName,CorrectAnswer,QuestionText,AnswerText,MisconceptionName
528,1428,Factorise a quadratic expression in the form x² + bx + c,53,Factorising into a Double Bracket,C,Which multiplication will help factorise \( x^{2}+13 x+30 \) ?,\( 5 \times 6 \),"Believes that when factorising a quadratic, they can choose any two numbers that multiply to give the constant"
529,414,Order fractions whose denominators are multiples of the same number ,228,Ordering Fractions,C,Which option shows the fractions in order from smallest to largest?,\( \begin{array}{llll}\frac{3}{4} & \frac{1}{2} & \frac{2}{6} & \frac{1}{12}\end{array} \),Mixes up smallest and largest when ordering fractions
529,414,Order fractions whose denominators are multiples of the same number ,228,Ordering Fractions,C,Which option shows the fractions in order from smallest to largest?,\( \begin{array}{llll}\frac{1}{2} & \frac{3}{4} & \frac{2}{6} & \frac{1}{12}\end{array} \),Ordered fractions by comparing denominators rather than using equivalent fractions.
529,414,Order fractions whose denominators are multiples of the same number ,228,Ordering Fractions,C,Which option shows the fractions in order from smallest to largest?,\( \begin{array}{llll}\frac{1}{2} & \frac{1}{12} & \frac{2}{6} & \frac{3}{4}\end{array} \),When comparing unit fractions believes that fractions with larger denominators are greater in size.
530,2759,Calculate the median as an average from an odd numbered list of data,102,"Averages (mean, median, mode) from a List of Data",C,"What is the median of the following numbers?
\[
3,5,6,18,18
\]",\( 10 \),Finds the mean instead of the median
530,2759,Calculate the median as an average from an odd numbered list of data,102,"Averages (mean, median, mode) from a List of Data",C,"What is the median of the following numbers?
\[
3,5,6,18,18
\]",\( 12 \),"When finding the median for an odd numbered data set, find the midpoint of two values rather than giving the middle value"
530,2759,Calculate the median as an average from an odd numbered list of data,102,"Averages (mean, median, mode) from a List of Data",C,"What is the median of the following numbers?
\[
3,5,6,18,18
\]",\( 18 \),Finds the mode instead of the median
531,342,Identify multiples of a number,220,Multiples and Lowest Common Multiple,D,"If you list the multiples of \( 15 \) in ascending order, what is the \( 5^{\text {th }} \) number in the list?",\( 90 \),Believes the first multiple of a is 2a
532,3085,Can calculate missing coordinates in a geometric shape,406,Naming Co-ordinates in 2D,C,"Here are \( 3 \) vertices of a rectangle:
\((0,3),(4,-1),(2,-3),\)

What are the coordinates of the \( 4^{\text {th }} \) vertex?","\( (0,1) \)","Believes the sides of a rectangle must be horizontal and vertical, not diagonal"
532,3085,Can calculate missing coordinates in a geometric shape,406,Naming Co-ordinates in 2D,C,"Here are \( 3 \) vertices of a rectangle:
\((0,3),(4,-1),(2,-3),\)

What are the coordinates of the \( 4^{\text {th }} \) vertex?","\( (4,1) \)","Believes the sides of a rectangle must be horizontal and vertical, not diagonal"
532,3085,Can calculate missing coordinates in a geometric shape,406,Naming Co-ordinates in 2D,C,"Here are \( 3 \) vertices of a rectangle:
\((0,3),(4,-1),(2,-3),\)

What are the coordinates of the \( 4^{\text {th }} \) vertex?","\( (-2,-3) \)","Believes the sides of a rectangle must be horizontal and vertical, not diagonal"
533,1627,Multiply algebraic fractions where the numerators and denominators are all single terms,1079,Multiplying and Dividing Algebraic Fractions,A,"Write this as a single fraction as simply as possible:

\(
\frac{5}{x} \times \frac{2 y}{x^{2}}
\)",\( \frac{5 x+10 y}{x^{2}} \),"When asked to multiply fractions, uses the method for adding instead"
533,1627,Multiply algebraic fractions where the numerators and denominators are all single terms,1079,Multiplying and Dividing Algebraic Fractions,A,"Write this as a single fraction as simply as possible:

\(
\frac{5}{x} \times \frac{2 y}{x^{2}}
\)",\( \frac{10 y}{3 x} \),Believes cubing a number means you multiply it by 3
534,1448,Subtract two equations together to remove a variable ,63,Simultaneous Equations,D,"Isaac is trying to solve the pair of simultaneous equations on the right.

\[
6 g+h=12
\]
\[
6 g-3 h=-3
\]

He decides to subtract the bottom equation from the top equation.
What will he end up with?",\( -2 h=9 \),"When subtracting a negative number, subtracts the absolute value rather than adding it"
534,1448,Subtract two equations together to remove a variable ,63,Simultaneous Equations,D,"Isaac is trying to solve the pair of simultaneous equations on the right.

\[
6 g+h=12
\]
\[
6 g-3 h=-3
\]

He decides to subtract the bottom equation from the top equation.
What will he end up with?",\( -2 h=15 \),"When subtracting a negative number, subtracts the absolute value rather than adding it"
534,1448,Subtract two equations together to remove a variable ,63,Simultaneous Equations,D,"Isaac is trying to solve the pair of simultaneous equations on the right.

\[
6 g+h=12
\]
\[
6 g-3 h=-3
\]

He decides to subtract the bottom equation from the top equation.
What will he end up with?",\( 4 h=9 \),"When subtracting a negative number, subtracts the absolute value rather than adding it"
535,437,Subtract fractions involving mixed number fractions with different denominators,230,Adding and Subtracting Fractions,C,\( 3 \frac{4}{7}-1 \frac{3}{4}= \) Leave your answer as a mixed number,\( 2 \frac{5}{28} \),Ignores the negative sign
535,437,Subtract fractions involving mixed number fractions with different denominators,230,Adding and Subtracting Fractions,C,\( 3 \frac{4}{7}-1 \frac{3}{4}= \) Leave your answer as a mixed number,\( \frac{51}{28} \),Confused mixed numbers with improper fractions
536,3340,Compare the lengths of diagonal line segments without calculating the exact length,406,Naming Co-ordinates in 2D,A,"Tom and Katie are arguing about distance and coordinates. 

Tom says \( (3,-2) \) and \( (2,-3) \) are equidistant from the origin. 
Katie says \( (4,1) \) and \( (7,-2) \) are equidistant from the origin. 

Who is correct?",Only Katie,Believes the sum of change in x and change in y gives the distance between points
536,3340,Compare the lengths of diagonal line segments without calculating the exact length,406,Naming Co-ordinates in 2D,A,"Tom and Katie are arguing about distance and coordinates. 

Tom says \( (3,-2) \) and \( (2,-3) \) are equidistant from the origin. 
Katie says \( (4,1) \) and \( (7,-2) \) are equidistant from the origin. 

Who is correct?",Neither is correct,Confuses negative and positive coordinates when working with graphs in four quadrants
537,3215,Round numbers to an appropriate degree to estimate the answer to a calculation,216,Estimation,A,"Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct \( 505 \div 198 \)",\( 2.243 \ldots \),Rounds to the wrong degree of accuracy (rounds too much)
537,3215,Round numbers to an appropriate degree to estimate the answer to a calculation,216,Estimation,A,"Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct \( 505 \div 198 \)",\( 5.136 \ldots \),Rounds to the wrong degree of accuracy (rounds too much)
537,3215,Round numbers to an appropriate degree to estimate the answer to a calculation,216,Estimation,A,"Without working out the exact answer, use estimation to decide which of the following answer is the most likely to be correct \( 505 \div 198 \)",\( 3.1101 \ldots \),Rounds every number up when estimating
538,2580,"Given the area of a square, calculate a missing dimension",86,Perimeter,D,"A shape is made up a square and regular pentagon.
The area of the square is \( 196 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![A regular pentagon with a square joined along one edge]()",\( 343 \mathrm{~cm} \),Thinks that square root is found by dividing by 4
538,2580,"Given the area of a square, calculate a missing dimension",86,Perimeter,D,"A shape is made up a square and regular pentagon.
The area of the square is \( 196 \mathrm{~cm}^{2} \).

What is the perimeter of the compound shape? ![A regular pentagon with a square joined along one edge]()",\( 112 \mathrm{~cm} \),Believes lines inside the shape are included when finding perimeter
539,2598,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",197,Volume and Capacity Units,A,"A regular octagon has a total perimeter of \( 12 \mathrm{~cm} \).
What is the length of each of its sides?",\( 4 \mathrm{~cm} \),"When given the perimeter of a regular polygon, subtracts instead of divides to find each side length"
539,2598,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",197,Volume and Capacity Units,A,"A regular octagon has a total perimeter of \( 12 \mathrm{~cm} \).
What is the length of each of its sides?",\( 96 \mathrm{~cm} \),"When given the perimeter of a regular polygon, multiplies instead of divides to find each side length"
539,2598,"Given the perimeter, work out a missing length requiring knowledge of the geometrical properties of the shape",197,Volume and Capacity Units,A,"A regular octagon has a total perimeter of \( 12 \mathrm{~cm} \).
What is the length of each of its sides?",Not enough information,Does not know the meaning of the word regular 
540,849,Round the elements of a calculation to one significant figure to perform an estimation,216,Estimation,D,"Estimate the value of
\(
\frac{3.24 \times 17.6}{0.224}
\)",\( 10.8 \),Rounds too little when estimating
540,849,Round the elements of a calculation to one significant figure to perform an estimation,216,Estimation,D,"Estimate the value of
\(
\frac{3.24 \times 17.6}{0.224}
\)",\( 12 \),Believes that dividing by a decimal is the same as dividing by its reciprocal
540,849,Round the elements of a calculation to one significant figure to perform an estimation,216,Estimation,D,"Estimate the value of
\(
\frac{3.24 \times 17.6}{0.224}
\)",\( 270 \),Rounds to the nearest integer when estimating
541,419,Use inequality notation to order fractions whose denominators are not multiples of the same number ,228,Ordering Fractions,B,"What sign would make this statement true?
\(
\frac{5}{9} ? \frac{7}{12}
\)",\( > \),Mixes up greater than and less than symbols
542,1261,Recognise and name an expression,70,Writing Expressions,B,Which of the following is the most appropriate word to describe: \( 6-3 g \),Variable,Confuses an expression with a variable
542,1261,Recognise and name an expression,70,Writing Expressions,B,Which of the following is the most appropriate word to describe: \( 6-3 g \),Equation,Confuses an equation with an expression
542,1261,Recognise and name an expression,70,Writing Expressions,B,Which of the following is the most appropriate word to describe: \( 6-3 g \),Term,Confuses an expression with a term
543,2646,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",92,Reflection,D,![Squared paper with a horizontal line of reflection and a triangle. The horizontal base of the triangle is two squares above the line of reflection.]() Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? ![Tom does this: his reflected triangle is sitting upright the same as the original object. The base is 3 squares below the line of reflection.]() ![Katie does this: her reflected triangle is upside down compared to the original object. The base of the reflected triangle is on the line of reflection.](),Only Tom,Translates rather than reflects across a line of symmetry
543,2646,"Reflect an object or a point in a horizontal line with the line of reflection drawn, where the line of reflection lies on the edge or outside the object",92,Reflection,D,![Squared paper with a horizontal line of reflection and a triangle. The horizontal base of the triangle is two squares above the line of reflection.]() Tom and Katie are arguing about how to reflect the object in the line of reflection. Who reflects it correctly? ![Tom does this: his reflected triangle is sitting upright the same as the original object. The base is 3 squares below the line of reflection.]() ![Katie does this: her reflected triangle is upside down compared to the original object. The base of the reflected triangle is on the line of reflection.](),Only Katie,Fails to reflect across mirror line
544,3345,Identify or mark lines of symmetry on a shape,275,Line Symmetry,B,"![A rectangle divided into 3 equal horizontal sections. The middle section is white and the other 2 sections are blue. In the centre of the white section are five 5-pointed blue stars in the same formation as the 5 dots on a dice. All the stars are in exactly the same orientation, with one point pointing directly upwards.]() How many lines of symmetry does this shape have?",\( 0 \),Cannot identify a line of symmetry in a simple shape
544,3345,Identify or mark lines of symmetry on a shape,275,Line Symmetry,B,"![A rectangle divided into 3 equal horizontal sections. The middle section is white and the other 2 sections are blue. In the centre of the white section are five 5-pointed blue stars in the same formation as the 5 dots on a dice. All the stars are in exactly the same orientation, with one point pointing directly upwards.]() How many lines of symmetry does this shape have?",\( 2 \),Ignores colours or design on shape when looking for symmetry
544,3345,Identify or mark lines of symmetry on a shape,275,Line Symmetry,B,"![A rectangle divided into 3 equal horizontal sections. The middle section is white and the other 2 sections are blue. In the centre of the white section are five 5-pointed blue stars in the same formation as the 5 dots on a dice. All the stars are in exactly the same orientation, with one point pointing directly upwards.]() How many lines of symmetry does this shape have?",\( 4 \),Thinks rectangles have line symmetry in the diagonals 
545,2211,Tell the time from a 24 hour digital clock with times after half past the hour,209,Time,D,Which clock shows ten to twelve at night?,10:12,Gets the minutes and hours the wrong way around
545,2211,Tell the time from a 24 hour digital clock with times after half past the hour,209,Time,D,Which clock shows ten to twelve at night?,\( 12: 50 \),Does not adjust the hour for “to” times
545,2211,Tell the time from a 24 hour digital clock with times after half past the hour,209,Time,D,Which clock shows ten to twelve at night?,00:50,Does not adjust the hour for “to” times
546,2789,Interpret numbers in a frequency table,340,Averages and Range from Frequency Table,A,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 5 \),Believes total frequency in a table is found by counting rows
546,2789,Interpret numbers in a frequency table,340,Averages and Range from Frequency Table,A,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 28 \),Believes the total frequency is the overall total in a grouped table
546,2789,Interpret numbers in a frequency table,340,Averages and Range from Frequency Table,A,"Below is data from a Hockey team's matches over the course of a season, showing the number of goals scored. How many matches did the team play? ![\begin{tabular}{|c|c|}
\hline Goals scored & Frequency \\
\hline \( 0 \) & \( 6 \) \\
\hline \( 1 \) & \( 7 \) \\
\hline \( 2 \) & \( 4 \) \\
\hline \( 3 \) & \( 3 \) \\
\hline \( 4 \) & \( 1 \) \\
\hline
\end{tabular}]()",\( 10 \),Believes total frequency in a table is given by the sum of the categories given
547,1430,Factorise a quadratic expression in the form x² + bx - c,53,Factorising into a Double Bracket,D,"If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)",\( 5 \),Believes the coefficent of x in an expanded quadratic comes from multiplying the two numbers in the brackets
547,1430,Factorise a quadratic expression in the form x² + bx - c,53,Factorising into a Double Bracket,D,"If
\(
m^{2}+5 m-14 \equiv(m+a)(m+b)
\)
then \( a \times b= \)",\( 14 \),"When factorising into double brackets, believes the product of the constants in the brackets is of the opposite sign to the constant in the expanded equation."
548,579,Express one quantity as a percentage of another mentally,233,Percentages of an Amount,C,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 333 \% \),When writing a number as a percentage of another number gets them the wrong way around
548,579,Express one quantity as a percentage of another mentally,233,Percentages of an Amount,C,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 30 \% \),Thinks there are 100m and a km
548,579,Express one quantity as a percentage of another mentally,233,Percentages of an Amount,C,What is \( 60 \mathrm{~m} \) as a percentage of \( 2 \mathrm{~km} \) ?,\( 60 \% \),Thinks you need to just add a % sign to a number to make it a percentage
549,703,Express pictorial representations of objects as a ratio,334,Writing Ratios,B,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,\( 5: 13 \),"When writing ratio from diagram, writes total as one side"
549,703,Express pictorial representations of objects as a ratio,334,Writing Ratios,B,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,\( 8: 13 \),"When writing ratio from diagram, writes total as one side"
549,703,Express pictorial representations of objects as a ratio,334,Writing Ratios,B,![A group of 8 squares and 5 circles]() What is the ratio of squares to circles?,\( 5: 8 \),Mixes up sides of a ratio
550,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,C,"Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)","Only
Tom",Performs addition ahead of multiplication
550,854,"Use the order of operations to carry out calculations involving addition, subtraction, multiplication, and/or division",33,BIDMAS,C,"Tom and Katie are discussing the order of operations
Tom says: \( 3+2-1 \equiv 3-1+2 \)
Katie says: \( 3+2 \times 1 \equiv 2 \times 1+3 \)",Only Katie,Carries out operations from left to right regardless of priority order
551,1738,Use a protractor to measure angles between 180° and 270°,180,Measuring Angles,D,"Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()","Only
Jo",When using a 180 degree protractor to measure reflex angles gives the value of the acute or obtuse angle that is a complement to 360
551,1738,Use a protractor to measure angles between 180° and 270°,180,Measuring Angles,D,"Jo and Paul are arguing about the size of the marked angle.
Jo says it is \( 120^{\circ} \)
Paul says it is \( 60^{\circ} \)
Who is correct? ![Angle with a protractor over it showing 240 degrees]()","Only
Paul",Does not add on 180 degrees when using a protractor to measure a reflex angle
552,1488,Solve quadratic equations using factorisation in the form (x + a)(x + b) ,65,Quadratic Equations,D,"One of these equations has exactly one solution.
Which is it?",\( t^{2}-16=0 \),Factorises difference of two squares with the same sign in both brackets
553,3218,Find missing numbers in a fraction multiplication,232,Dividing Fractions,B,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",\( \frac{29}{35} \),Does not know how to interpret a fraction worded problem 
553,3218,Find missing numbers in a fraction multiplication,232,Dividing Fractions,B,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",\( \frac{1}{35} \),Does not know how to interpret a fraction worded problem 
553,3218,Find missing numbers in a fraction multiplication,232,Dividing Fractions,B,"Barry has two fraction cards.
\( \frac{3}{7} \quad \square\)
The product of the cards is \( \frac{2}{5} \) What is the other card?",\( \frac{6}{35} \),Does not know how to interpret a fraction worded problem 
554,926,Work out the equation of a line with a negative gradient from an accurate drawing,261,Gradient as change in y over change in x,D,"If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()",\( -\frac{1}{2} \),"When reading graph, chooses nearest marked value on axis instead of reading accurately"
554,926,Work out the equation of a line with a negative gradient from an accurate drawing,261,Gradient as change in y over change in x,D,"If you were to write the equation of this line in the form \( \boldsymbol{y}=\boldsymbol{m} \boldsymbol{x}+\boldsymbol{c} \), what is the value of \( \boldsymbol{m} \) ? ![Graph showing straight line with y intercept (0,0) and x intercept (0,0). Also goes through the point (6,-4)]()",\( -\frac{3}{2} \),Believes gradient = change in x/change in y
555,2580,"Given the area of a square, calculate a missing dimension",246,"Square Roots, Cube Roots, etc",A,A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?,\( 18 \mathrm{~mm} \),Confuses square rooting and halving the number
555,2580,"Given the area of a square, calculate a missing dimension",246,"Square Roots, Cube Roots, etc",A,A square has an area \( 36 \mathrm{~mm}^{2} \) What is the length of one side of the square?,\( 9 \mathrm{~mm} \),Confuses perimeter and area
556,1464,"Solve one-step linear equations requiring multiplication or division, with all positive integers",64,Linear Equations,C,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",\( +9 \),"When solving an equation, adds instead of dividing"
556,1464,"Solve one-step linear equations requiring multiplication or division, with all positive integers",64,Linear Equations,C,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",\( \times 9 \),"When solving an equation, uses the same operation rather than the inverse."
556,1464,"Solve one-step linear equations requiring multiplication or division, with all positive integers",64,Linear Equations,C,"Isaac is solving an equation. This is the left-hand side of two lines of working from Isaac's book. Isaac always records what operation he has done to both sides of the equation.

What operation should replace the star? ![A diagram showing the change from the equations 9y = to y = represented by a gold star]()",\( -9 \),"When solving an equation, subtracts instead of dividing"
557,2849,Interpret a bar chart,106,Block Graphs and Bar Charts,D,"The bar chart shows the number of cups of tea and coffee sold in a café over \( 4 \) days.

How many cups of coffee were sold on Tuesday? ![A dual bar bar chart showing the number of cups of tea and coffee sold Monday to Thursday. The vertical scale showing the number of cups sold has 10 small boxes between 0 and 10.The bar for tea on Tuesday reaches 2 small boxes above 10. The bar for coffee on Tuesday reaches 5 small boxes above 40.]()",\( 50 \),"When reading graph, chooses nearest marked value on axis instead of reading accurately"
558,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,A,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",\( t-1 \),Incorrectly factorises a quadratic
558,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,A,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",\( t-2 \),Incorrectly factorises a quadratic
558,1612,Simplify an algebraic fraction by factorising the numerator,1077,Simplifying Algebraic Fractions,A,"Simplify the following, if possible: \( \frac{t^{2}+t-2}{t-1} \)",Does not simplify,Does not recognise factorising a quadratic
559,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",84,Properties of Polygons,A,An equilateral shape must have...,All sides and all angles equal,Does know know equilateral means the same as regular 
559,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",84,Properties of Polygons,A,An equilateral shape must have...,A right angle,Does know know equilateral means the same as regular 
559,3207,"Understand the terms equilateral and regular, and recognise the notation for regular polygons",84,Properties of Polygons,A,An equilateral shape must have...,All angles equal,Does know know equilateral means the same as regular 
560,700,"Given information about one part, work out other parts",241,Sharing in a Ratio,D,"Jess and Heena share some sweets in the ratio \( 3\;: 5 \).
Jess gets \( 15 \) sweets.
How many sweets does Heena get?",\( 17 \),Thinks a difference of one part in a ratio means the quantities will differ by one unit
561,1320,Identify vertical translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),A,"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)","Translation by vector
\(\left[\begin{array}{l}
0 \\
-1
\end{array}\right]\)",Believes f(x) - a translates the function up a units
561,1320,Identify vertical translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),A,"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)","Translation by vector
\(\left[\begin{array}{l}
1 \\
0
\end{array}\right]\)",Believes f(x) + a translates the function right a units
561,1320,Identify vertical translations in the form f(x) = for non-trigonometric functions,164,Transformations of functions in the form f(x),A,"What transformation maps the graph of
\(y=f(x)\)
to the graph of
\(y=f(x)+1\)","Translation by vector
\(\left[\begin{array}{l}
-1 \\
0
\end{array}\right]\)",Believes f(x) - a translates the function right a units
562,886,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y",243,Direct Proportion,D,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 6.55 \),Does not know how to calculate with exchange rates
562,886,"Given an exchange rate x = ny, convert to work out the number of x’s for a given y",243,Direct Proportion,D,"\begin{tabular}{|l|}
\hline Exchange rates \\
\\
\( £ 1=€ 1.17 \) \\
\( £ 1=\$ 1.31 \)
\end{tabular} How much is \( \$ 5 \) worth in pounds ( \( £ \) )?",\( 5 \),Does not know how to calculate with exchange rates
563,1522,Rearrange formulae to change the subject where the subject appears once and two steps are needed,60,Rearranging Formula and Equations,A,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",\( r=p+5 \div 3 \),Misunderstands order of operations in algebraic expressions
563,1522,Rearrange formulae to change the subject where the subject appears once and two steps are needed,60,Rearranging Formula and Equations,A,"Rearrange the following equation to make \( r \) the subject
\[
p=3 r-5
\]",\( r=\frac{p-5}{3} \),Confuses the inverse operations of addition and subtraction when rearranging equations
564,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,C,Multiply out the brackets: \( -5(m-7) \),\( 5 m+35 \),Believes multiplying a positive by a negative gives a positive answer
564,1403,Multiply a single term over a bracket where the term on the outside is a number and the inside contains a linear expression,50,Expanding Single Brackets,C,Multiply out the brackets: \( -5(m-7) \),\( -5 m-35 \),Believes multiplying two negatives gives a negative answer
565,513,Raise an integer to a positive non-unit fraction power,247,Laws of Indices,A,\( (16)^{\frac{5}{2}}=? \),\( 20 \),Assumes they multiply by the numerator of fractional index
565,513,Raise an integer to a positive non-unit fraction power,247,Laws of Indices,A,\( (16)^{\frac{5}{2}}=? \),\( 40 \),Multiplies by the index
566,1523,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,60,Rearranging Formula and Equations,A,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Only Katie,"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression"
566,1523,Rearrange formulae to change the subject where the subject appears once and three or more steps are needed,60,Rearranging Formula and Equations,A,"Tom and Katie are discussing rearranging \( p=\sqrt{5-q} \) to make \( q \) the subject Tom says a correct first line of working could be: \( p^{2}=5-q \) Katie says a correct first line of working could be: \( p+\sqrt{q}=\sqrt{5} \)
Who is correct?",Both Tom and Katie,"Thinks that the square root of an expression square roots each term in the expression, rather than square rooting the whole expression"
567,1277,Multiply an integer and an algebraic term ,51,Expanding Double Brackets,B,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( x-2 \),Adds instead of multiplying when expanding bracket
567,1277,Multiply an integer and an algebraic term ,51,Expanding Double Brackets,B,"James is expanding these two brackets.

What should he get when he multiplies the two terms indicated by the arrows? ![The brackets shown are (x-8)(x-2). The arrows are pointing at the x in the first bracket and the -2 in the second bracket.]()",\( +2 x \),Ignores negative sign when expanding bracket
568,400,Calculate unit fractions of an amount,225,Fractions of an Amount,B,\( \frac{1}{7} \) of \( 56= \),\( 49 \),Thinks finding a fraction of an amount means subtracting from that amount
569,1758,Find missing angles on parallel lines using corresponding angles,182,Angle Facts with Parallel Lines,A,"Calculate the missing angle: ![Two vertical lines marked with arrows are crossed by one diagonal line. Two angles are marked; they are both on the upper side of the diagonal line and to the right of the vertical lines. One is marked '70', the other '?'. ]()",\( 110^{\circ} \),Thinks corresponding angles sum to 180 degrees
569,1758,Find missing angles on parallel lines using corresponding angles,182,Angle Facts with Parallel Lines,A,"Calculate the missing angle: ![Two vertical lines marked with arrows are crossed by one diagonal line. Two angles are marked; they are both on the upper side of the diagonal line and to the right of the vertical lines. One is marked '70', the other '?'. ]()",\( 290^{\circ} \),Thinks corresponding angles sum to 360 degrees
570,3030,Use the prime factor decomposition of a number to calculate the number,219,Factors and Highest Common Factor,B,"What number should replace \(\color{gold}\bigstar \) in the Venn diagram? ![A Venn diagram with two circles. The left hand one is labelled 'prime factors of \star\', the right hand circle is labelled 'prime factors of 60'. In the left hand circle, there is an 11, in the overlap there is a 2 and a 3, and in the right hand circle there is a 2 and a heart. ]()",\( 11 \),Believes the intersection in a prime factor venn diagram does not contribute to the size of the number represented by a circle 
570,3030,Use the prime factor decomposition of a number to calculate the number,219,Factors and Highest Common Factor,B,"What number should replace \(\color{gold}\bigstar \) in the Venn diagram? ![A Venn diagram with two circles. The left hand one is labelled 'prime factors of \star\', the right hand circle is labelled 'prime factors of 60'. In the left hand circle, there is an 11, in the overlap there is a 2 and a 3, and in the right hand circle there is a 2 and a heart. ]()",\( 16 \),Believes factors add to give a number
570,3030,Use the prime factor decomposition of a number to calculate the number,219,Factors and Highest Common Factor,B,"What number should replace \(\color{gold}\bigstar \) in the Venn diagram? ![A Venn diagram with two circles. The left hand one is labelled 'prime factors of \star\', the right hand circle is labelled 'prime factors of 60'. In the left hand circle, there is an 11, in the overlap there is a 2 and a 3, and in the right hand circle there is a 2 and a heart. ]()",\( 132 \),Believes multiply all numbers in a prime factor venn diagram gives the value of one sets number
571,210,"Round integers to the nearest other integer value (e.g. 20, 50 etc)",213,"Rounding to the Nearest Whole (10, 100, etc)",C,What is \( 646 \) rounded to the nearest \( 20 \) ?,\( 650 \),Rounds to nearest 50 not 20
